country_code,year,poor,population,region_name,country_name,effective_headcount
SDN,1983,11320702.4,16108000,Sub-Saharan Africa,Sudan,0.7028
SEN,1983,5218185.3,6101000,Sub-Saharan Africa,Senegal,0.8553
SGP,1983,30205.3973708726,2580000,Other High Income Countries,Singapore,0.0117075183608033
SLB,1983,181050,255000,East Asia & Pacific,Solomon Islands,0.71
SLE,1983,2825847,3609000,Sub-Saharan Africa,Sierra Leone,0.783
SLV,1983,1500209,4793000,Latin America & Caribbean,El Salvador,0.313
SMR,1983,257.565403937673,22000,Other High Income Countries,San Marino,0.0117075183608033
SOM,1983,4993880.73085496,6740000,Sub-Saharan Africa,Somalia,0.740931859177293
SRB,1983,41988.8,9128000,Europe & Central Asia,Serbia,0.0046
STP,1983,41440,1e+05,Sub-Saharan Africa,Sao Tome and Principe,0.4144
SUR,1983,16717,365000,Latin America & Caribbean,Suriname,0.0458
SVN,1983,571.2,1904000,Europe & Central Asia,Slovenia,3e-04
SWE,1983,34161.2,8332000,Other High Income Countries,Sweden,0.0041
SWZ,1983,637207.2,658000,Sub-Saharan Africa,Eswatini,0.9684
SXM,1983,187.320293772853,16000,Other High Income Countries,Sint Maarten (Dutch part),0.0117075183608033
SYC,1983,2173.5,69000,Sub-Saharan Africa,Seychelles,0.0315
SYR,1983,2344610.1,9939000,Middle East & North Africa,Syrian Arab Republic,0.2359
TCA,1983,93.6601468864266,8000,Other High Income Countries,Turks and Caicos Islands,0.0117075183608033
TCD,1983,4244691,4829000,Sub-Saharan Africa,Chad,0.879
TGO,1983,2399012.8,3026000,Sub-Saharan Africa,Togo,0.7928
THA,1983,23858424.4,50186000,East Asia & Pacific,Thailand,0.4754
TJK,1983,1491897,4265000,Europe & Central Asia,Tajikistan,0.3498
TKM,1983,1832319.2,3092000,Europe & Central Asia,Turkmenistan,0.5926
TON,1983,17679.3,93000,East Asia & Pacific,Tonga,0.1901
TTO,1983,19476.9,1139000,Latin America & Caribbean,Trinidad and Tobago,0.0171
TUN,1983,2497572,6930000,Middle East & North Africa,Tunisia,0.3604
TUR,1983,8675738.2,47074000,Europe & Central Asia,Turkiye,0.1843
TWN,1983,44604,18585000,Other High Income Countries,"Taiwan, China",0.0024
TZA,1983,18834874.8,20524000,Sub-Saharan Africa,Tanzania,0.9177
UGA,1983,11191278,13735000,Sub-Saharan Africa,Uganda,0.8148
UKR,1983,6179654,50570000,Europe & Central Asia,Ukraine,0.1222
URY,1983,494707.2,2973000,Latin America & Caribbean,Uruguay,0.1664
USA,1983,2363440,236344000,Other High Income Countries,United States,0.01
UZB,1983,12574774.2,17221000,Europe & Central Asia,Uzbekistan,0.7302
VCT,1983,36382.5779791215,103000,Latin America & Caribbean,St. Vincent and the Grenadines,0.353228912418655
VEN,1983,3724093.8,16618000,Latin America & Caribbean,"Venezuela, RB",0.2241
VGB,1983,140.49022032964,12000,Other High Income Countries,British Virgin Islands,0.0117075183608033
VIR,1983,1217.58190952355,104000,Other High Income Countries,Virgin Islands (U.S.),0.0117075183608033
VNM,1983,49535450,58277000,East Asia & Pacific,Viet Nam,0.85
VUT,1983,56382.8,124000,East Asia & Pacific,Vanuatu,0.4547
WSM,1983,36379.2,159000,East Asia & Pacific,Samoa,0.2288
YEM,1983,3158783.7,9111000,Middle East & North Africa,"Yemen, Rep.",0.3467
ZAF,1983,15799532.4,32139000,Sub-Saharan Africa,South Africa,0.4916
ZMB,1983,4562791.2,6522000,Sub-Saharan Africa,Zambia,0.6996
ZWE,1983,3227656.7,8027000,Sub-Saharan Africa,Zimbabwe,0.4021
ABW,1984,674.675731669103,63000,Other High Income Countries,Aruba,0.0107091385979223
AFG,1984,10334884.9593819,12047000,South Asia,Afghanistan,0.857880381786494
AGO,1984,3216701,10277000,Sub-Saharan Africa,Angola,0.313
ALB,1984,227148.3,2901000,Europe & Central Asia,Albania,0.0783
AND,1984,449.783821112735,42000,Other High Income Countries,Andorra,0.0107091385979223
