code,baseyear,geo_code2_new,poor215_ln
AGO,2018,AGO_2015_ADM1_401,0.125271440192129
AGO,2018,AGO_2015_ADM1_405,0.520963611713666
AGO,2018,AGO_2015_ADM1_400,0.491472265261853
AGO,2018,AGO_2015_ADM1_412,0.570566125658506
AGO,2018,AGO_2015_ADM1_402,0.51355555856833
AGO,2018,AGO_2015_ADM1_413,0.269422761078401
AGO,2018,AGO_2015_ADM1_406,0.521405980787109
AGO,2018,AGO_2015_ADM1_404,0.613668128292532
AGO,2018,AGO_2015_ADM1_410,0.492831050511311
AGO,2018,AGO_2015_ADM1_398,0.388269178029129
AGO,2018,AGO_2015_ADM1_415,0.173230852959405
AGO,2018,AGO_2015_ADM1_414,0.441611609079641
AGO,2018,AGO_2015_ADM1_408,0.0875539161760149
AGO,2018,AGO_2015_ADM1_407,0.441954226061357
AGO,2018,AGO_2015_ADM1_403,0.578221087697552
AGO,2018,AGO_2015_ADM1_411,0.516538797644872
AGO,2018,AGO_2015_ADM1_409,0.30471657886582
AGO,2018,AGO_2015_ADM1_399,0.416105628292532
ALB,2019,ALB_2015_ADMx_3_1,0
ALB,2019,ALB_2015_ADMx_3_6,0
ALB,2019,ALB_2015_ADMx_3_7,0
ALB,2019,ALB_2015_ADMx_3_8,0
ALB,2019,ALB_2015_ADMx_3_9,0
ALB,2019,ALB_2015_ADMx_3_12,0
ALB,2019,ALB_2015_ADMx_3_2,0
ALB,2019,ALB_2015_ADMx_3_10,0
ALB,2019,ALB_2015_ADMx_3_11,0
ALB,2019,ALB_2015_ADMx_3_5,0
ALB,2019,ALB_2015_ADMx_3_3,0
ALB,2019,ALB_2015_ADMx_3_4,0
ARE,2019,ARE_2015_ADM0_255,0
ARG,2019,ARG_2015_ADM0_12,0.00914678333333333
ARM,2019,ARM_2015_ADM1_463,0
ARM,2019,ARM_2015_ADM1_464,0.00162060776699029
ARM,2019,ARM_2015_ADM1_460,0.00840599611650485
ARM,2019,ARM_2015_ADM1_461,0.00178692427184466
ARM,2019,ARM_2015_ADM1_462,0
ARM,2019,ARM_2015_ADM1_453,0.0162963388349515
ARM,2019,ARM_2015_ADM1_454,0.000499130097087379
ARM,2019,ARM_2015_ADM1_455,0.00145167281553398
ARM,2019,ARM_2015_ADM1_456,0.00464885631067961
ARM,2019,ARM_2015_ADM1_458,0.00440025436893204
ARM,2019,ARM_2015_ADM1_457,0.00189024757281553
AUS,2018,AUS_2015_ADM1_474,0.0045026321895
AUS,2018,AUS_2015_ADM1_477,0.0055260057561
AUS,2018,AUS_2015_ADM1_475,0.0021681580693
AUS,2018,AUS_2015_ADM1_471,0.00144369818416685
AUS,2018,AUS_2015_ADM1_473,0.0065206089057
AUS,2018,AUS_2015_ADM1_470,0.0067028552294
AUS,2018,AUS_2015_ADM1_476,0.0021152724512
AUT,2020,AUT_2015_ADMx_NUTS_AT1,0.011165240625
AUT,2020,AUT_2015_ADMx_NUTS_AT2,0.0033066
AUT,2020,AUT_2015_ADMx_NUTS_AT3,0.003702909375
AZE,2005,AZE_2015_ADM1_147304,
AZE,2005,AZE_2015_ADM2_495,
AZE,2005,AZE_2015_ADM1_147299,
AZE,2005,AZE_2015_ADM1_147303,
AZE,2005,AZE_2015_ADM1_147297,
AZE,2005,AZE_2015_ADM1_147300,
AZE,2005,AZE_2015_ADM1_147305,
AZE,2005,AZE_2015_ADM1_147301,
AZE,2005,AZE_2015_ADM1_147298,
AZE,2005,AZE_2015_ADM1_147306,
BDI,2013,BDI_2015_ADM1_40542,0.780445394043974
BDI,2013,BDI_2015_ADM1_40551,0.760378807681603
BDI,2013,BDI_2015_ADM1_40552,0.712145249540774
BDI,2013,BDI_2015_ADM1_40553,0.924831141664347
BDI,2013,BDI_2015_ADM1_40554,0.695388599833009
BDI,2013,BDI_2015_ADM1_40555,0.702610548065683
BDI,2013,BDI_2015_ADM1_40556,0.829283977957139
BDI,2013,BDI_2015_ADM1_40557,0.929945166267743
BDI,2013,BDI_2015_ADM1_40558,0.203872215307542
BDI,2013,BDI_2015_ADM1_40543,0.596819868633454
BDI,2013,BDI_2015_ADM1_40544,0.623143068633454
BDI,2013,BDI_2015_ADM1_40545,0.882093590425828
BDI,2013,BDI_2015_ADM1_40546,0.684833820428611
BDI,2013,BDI_2015_ADM1_40547,0.852979497912608
BDI,2013,BDI_2015_ADM1_40548,0.884464648371834
BDI,2013,BDI_2015_ADM1_40549,0.833200161424993
BDI,2013,BDI_2015_ADM1_40550,0.85105666373504
BEL,2020,BEL_2015_ADM1_600,0.0002195
BEL,2020,BEL_2015_ADM1_601,0.00019875
BEL,2020,BEL_2015_ADM1_602,0.0002904375
BEN,2018,BEN_2015_ADM1_609,0.178785508329022
BEN,2018,BEN_2015_ADM1_618,0.0372726799793068
BEN,2018,BEN_2015_ADM1_619,0.188337022038282
BEN,2018,BEN_2015_ADM1_620,0.184357950543197
BEN,2018,BEN_2015_ADM1_610,0.27811681184687
BEN,2018,BEN_2015_ADM1_611,0.0896019762027936
BEN,2018,BEN_2015_ADM1_612,0.299317671288153
BEN,2018,BEN_2015_ADM1_613,0.0936319712364201
BEN,2018,BEN_2015_ADM1_614,0.233060787273668
BEN,2018,BEN_2015_ADM1_615,0.180252575271599
BEN,2018,BEN_2015_ADM1_616,0.0167253672012416
BEN,2018,BEN_2015_ADM1_617,0.170066527470253
BFA,2018,BFA_2015_ADM1_40276,0.309992241935484
BFA,2018,BFA_2015_ADM1_40285,0.562865822580645
BFA,2018,BFA_2015_ADM1_40286,0.246276961388074
BFA,2018,BFA_2015_ADM1_40287,0.311411254154448
BFA,2018,BFA_2015_ADM1_40288,0.295240665200391
BFA,2018,BFA_2015_ADM1_40277,0.148740647605083
BFA,2018,BFA_2015_ADM1_40278,0.0188636275659824
BFA,2018,BFA_2015_ADM1_40279,0.378654774682307
BFA,2018,BFA_2015_ADM1_40280,0.501824337243402
BFA,2018,BFA_2015_ADM1_40281,0.365777543010753
BFA,2018,BFA_2015_ADM1_40282,0.115691897360704
BFA,2018,BFA_2015_ADM1_40283,0.293182187194526
BFA,2018,BFA_2015_ADM1_40284,0.189356959921799
BGD,2016,BGD_2015_ADM1_575,0.0545169856
BGD,2016,BGD_2015_ADM1_576,0.0163943296
BGD,2016,BGD_2015_ADM1_577,0.0227644736
BGD,2016,BGD_2015_ADM1_578,0.0533099072
BGD,2016,BGD_2015_ADM1_61362,0.0612689792
BGD,2016,BGD_2015_ADM1_61363,0.1505527936
BGD,2016,BGD_2015_ADM1_580,0.0411465472
BGR,2020,BGR_2015_ADMx_NUTS_BG4,0.0009196
BGR,2020,BGR_2015_ADMx_NUTS_BG3,0.0022836347826087
BIH,2011,BIH_2015_ADM2_6262,0
BIH,2011,BIH_2015_ADM1_652,0.0009149
BIH,2011,BIH_2015_ADM1_653,0
BLR,2019,BLR_2015_ADM1_596,0
BLR,2019,BLR_2015_ADM1_597,0
BLR,2019,BLR_2015_ADM1_593,0
BLR,2019,BLR_2015_ADM1_598,0
BLR,2019,BLR_2015_ADM1_594,0
BLR,2019,BLR_2015_ADM1_595,0
BLR,2019,BLR_2015_ADM1_599,0
BLZ,1999,BLZ_2015_ADM0_28,0.189036042990142
BOL,2019,BOL_2015_ADM1_40444,0.0641838
BOL,2019,BOL_2015_ADM1_40446,0.0177123958333333
BOL,2019,BOL_2015_ADM1_40445,0.0217126708333333
BOL,2019,BOL_2015_ADM1_40447,0.0214614916666667
BOL,2019,BOL_2015_ADM1_40448,0.0375441458333333
BOL,2019,BOL_2015_ADM1_40450,0.008239175
BOL,2019,BOL_2015_ADM1_40449,0.00444724166666667
BOL,2019,BOL_2015_ADM1_40443_648,0.0175975875
BRA,2019,BRA_2015_ADM1_686,0.0360993959183673
BRA,2019,BRA_2015_ADM1_665,0.146208225602968
BRA,2019,BRA_2015_ADM1_668,0.133013248237477
BRA,2019,BRA_2015_ADM1_687,0.0990583628942486
BRA,2019,BRA_2015_ADM1_678,0.10058186567718
BRA,2019,BRA_2015_ADM1_667,0.0624507962894249
BRA,2019,BRA_2015_ADM1_691,0.0667071168831169
BRA,2019,BRA_2015_ADM1_674,0.188423029313544
BRA,2019,BRA_2015_ADM1_682,0.118136513543599
BRA,2019,BRA_2015_ADM1_670,0.102574379220779
BRA,2019,BRA_2015_ADM1_684,0.0952606575139146
BRA,2019,BRA_2015_ADM1_679,0.115606863079777
BRA,2019,BRA_2015_ADM1_681,0.115451939146568
BRA,2019,BRA_2015_ADM1_666,0.144246091280148
