country_code,year,poor,population,region_name,country_name,effective_headcount
ABW,1981,2785.65712826302,61000,Other High Income Countries,Aruba,0.0456665102993938
AFG,1981,12740755.3429204,13054000,South Asia,Afghanistan,0.976003933117847
AGO,1981,5462870.5,9245000,Sub-Saharan Africa,Angola,0.5909
ALB,1981,1178668.8,2736000,Europe & Central Asia,Albania,0.4308
AND,1981,1735.32739137696,38000,Other High Income Countries,Andorra,0.0456665102993938
ARE,1981,0,1121000,Other High Income Countries,United Arab Emirates,0
ARG,1981,1486250,23780000,Latin America & Caribbean,Argentina,0.0625
ARM,1981,1375676,3148000,Europe & Central Asia,Armenia,0.437
ASM,1981,1506.99483987999,33000,Other High Income Countries,American Samoa,0.0456665102993938
ATG,1981,3333.65525185574,73000,Other High Income Countries,Antigua and Barbuda,0.0456665102993938
AUS,1981,259682.5,14839000,Other High Income Countries,Australia,0.0175
AUT,1981,111793.5,7605000,Other High Income Countries,Austria,0.0147
AZE,1981,2362500,6250000,Europe & Central Asia,Azerbaijan,0.378
BDI,1981,4184993,4223000,Sub-Saharan Africa,Burundi,0.991
BEL,1981,74100,9880000,Other High Income Countries,Belgium,0.0075
BEN,1981,3677514,3820000,Sub-Saharan Africa,Benin,0.9627
BFA,1981,6844882.8,6986000,Sub-Saharan Africa,Burkina Faso,0.9798
BGD,1981,81962859,83721000,South Asia,Bangladesh,0.979
BGR,1981,85488,8905000,Europe & Central Asia,Bulgaria,0.0096
BHR,1981,17079.2748519733,374000,Other High Income Countries,Bahrain,0.0456665102993938
BHS,1981,9818.29971436966,215000,Other High Income Countries,"Bahamas, The",0.0456665102993938
BIH,1981,2013526.4,4223000,Europe & Central Asia,Bosnia and Herzegovina,0.4768
BLR,1981,6631890,9700000,Europe & Central Asia,Belarus,0.6837
BLZ,1981,118104,148000,Latin America & Caribbean,Belize,0.798
BMU,1981,2602.99108706544,57000,Other High Income Countries,Bermuda,0.0456665102993938
BOL,1981,2584680,5712000,Latin America & Caribbean,Bolivia,0.4525
BRA,1981,83075963.8,124031000,Latin America & Caribbean,Brazil,0.6698
BRB,1981,11553.6271057466,253000,Other High Income Countries,Barbados,0.0456665102993938
BRN,1981,9133.30205987875,2e+05,Other High Income Countries,Brunei Darussalam,0.0456665102993938
BTN,1981,399234.3,421000,South Asia,Bhutan,0.9483
BWA,1981,910326,1038000,Sub-Saharan Africa,Botswana,0.877
CAF,1981,2254058.8,2347000,Sub-Saharan Africa,Central African Republic,0.9604
CAN,1981,433842.5,24791000,Other High Income Countries,Canada,0.0175
CHE,1981,62528.4,6316000,Other High Income Countries,Switzerland,0.0099
CHI,1981,5890.97982862179,129000,Other High Income Countries,Channel Islands,0.0456665102993938
CHL,1981,6818787.9,11439000,Latin America & Caribbean,Chile,0.5961
CHN,1981,1007798400,1.008e+09,East Asia & Pacific,China,0.9998
CIV,1981,4322102,8665000,Sub-Saharan Africa,Cote d'Ivoire,0.4988
CMR,1981,7713108.9,8883000,Sub-Saharan Africa,Cameroon,0.8683
COD,1981,26177424,27040000,Sub-Saharan Africa,"Congo, Dem. Rep.",0.9681
COG,1981,1693804.2,1894000,Sub-Saharan Africa,"Congo, Rep.",0.8943
COL,1981,17153292,28376000,Latin America & Caribbean,Colombia,0.6045
