country_code,year,poor,population,region_name,country_name,effective_headcount
ABW,1981,369.151993743684,61000,Other High Income Countries,Aruba,0.00605167202858498
AFG,1981,7692199.95983505,13054000,South Asia,Afghanistan,0.589259993858974
AGO,1981,1540217,9245000,Sub-Saharan Africa,Angola,0.1666
ALB,1981,11217.6,2736000,Europe & Central Asia,Albania,0.0041
AND,1981,229.963537086229,38000,Other High Income Countries,Andorra,0.00605167202858498
ARE,1981,0,1121000,Other High Income Countries,United Arab Emirates,0
ARG,1981,114144,23780000,Latin America & Caribbean,Argentina,0.0048
ARM,1981,94125.2,3148000,Europe & Central Asia,Armenia,0.0299
ASM,1981,199.705176943304,33000,Other High Income Countries,American Samoa,0.00605167202858498
ATG,1981,441.772058086703,73000,Other High Income Countries,Antigua and Barbuda,0.00605167202858498
AUS,1981,146906.1,14839000,Other High Income Countries,Australia,0.0099
AUT,1981,17491.5,7605000,Other High Income Countries,Austria,0.0023
AZE,1981,161875,6250000,Europe & Central Asia,Azerbaijan,0.0259
BDI,1981,3369954,4223000,Sub-Saharan Africa,Burundi,0.798
BEL,1981,23712,9880000,Other High Income Countries,Belgium,0.0024
BEN,1981,2256092,3820000,Sub-Saharan Africa,Benin,0.5906
BFA,1981,5858459.6,6986000,Sub-Saharan Africa,Burkina Faso,0.8386
BGD,1981,32475375.9,83721000,South Asia,Bangladesh,0.3879
BGR,1981,5343,8905000,Europe & Central Asia,Bulgaria,6e-04
BHR,1981,2263.32533869078,374000,Other High Income Countries,Bahrain,0.00605167202858498
BHS,1981,1301.10948614577,215000,Other High Income Countries,"Bahamas, The",0.00605167202858498
BIH,1981,39696.2,4223000,Europe & Central Asia,Bosnia and Herzegovina,0.0094
BLR,1981,33950,9700000,Europe & Central Asia,Belarus,0.0035
BLZ,1981,45140,148000,Latin America & Caribbean,Belize,0.305
BMU,1981,344.945305629344,57000,Other High Income Countries,Bermuda,0.00605167202858498
BOL,1981,869366.4,5712000,Latin America & Caribbean,Bolivia,0.1522
BRA,1981,29705424.5,124031000,Latin America & Caribbean,Brazil,0.2395
BRB,1981,1531.073023232,253000,Other High Income Countries,Barbados,0.00605167202858498
BRN,1981,1210.334405717,2e+05,Other High Income Countries,Brunei Darussalam,0.00605167202858498
BTN,1981,238201.8,421000,South Asia,Bhutan,0.5658
BWA,1981,514121.4,1038000,Sub-Saharan Africa,Botswana,0.4953
CAF,1981,1869385.5,2347000,Sub-Saharan Africa,Central African Republic,0.7965
CAN,1981,185932.5,24791000,Other High Income Countries,Canada,0.0075
CHE,1981,44212,6316000,Other High Income Countries,Switzerland,0.007
CHI,1981,780.665691687462,129000,Other High Income Countries,Channel Islands,0.00605167202858498
CHL,1981,1537401.6,11439000,Latin America & Caribbean,Chile,0.1344
CHN,1981,923529600,1.008e+09,East Asia & Pacific,China,0.9162
CIV,1981,575356,8665000,Sub-Saharan Africa,Cote d'Ivoire,0.0664
CMR,1981,3187220.4,8883000,Sub-Saharan Africa,Cameroon,0.3588
COD,1981,18673824,27040000,Sub-Saharan Africa,"Congo, Dem. Rep.",0.6906
COG,1981,929385.8,1894000,Sub-Saharan Africa,"Congo, Rep.",0.4907
COL,1981,3521461.6,28376000,Latin America & Caribbean,Colombia,0.1241
COM,1981,46377.1,317000,Sub-Saharan Africa,Comoros,0.1463
CPV,1981,166089.6,292000,Sub-Saharan Africa,Cabo Verde,0.5688
CRI,1981,634604.4,2454000,Latin America & Caribbean,Costa Rica,0.2586
CUB,1981,1519781.28481377,9885000,Latin America & Caribbean,Cuba,0.153746209895172
CUW,1981,901.699132259162,149000,Other High Income Countries,Curacao,0.00605167202858498
CYM,1981,102.878424485945,17000,Other High Income Countries,Cayman Islands,0.00605167202858498
CYP,1981,1722.5,689000,Other High Income Countries,Cyprus,0.0025
CZE,1981,0,10366000,Europe & Central Asia,Czechia,0
DEU,1981,0,78127000,Other High Income Countries,Germany,0
DJI,1981,30337.5,375000,Middle East & North Africa,Djibouti,0.0809
DMA,1981,11530.9657421379,75000,Latin America & Caribbean,Dominica,0.153746209895172
DNK,1981,25625,5125000,Other High Income Countries,Denmark,0.005
DOM,1981,392832.3,5943000,Latin America & Caribbean,Dominican Republic,0.0661
DZA,1981,700034.4,19944000,Middle East & North Africa,Algeria,0.0351
ECU,1981,1438571.4,8183000,Latin America & Caribbean,Ecuador,0.1758
EGY,1981,5579654.4,45216000,Middle East & North Africa,"Egypt, Arab Rep.",0.1234
ERI,1981,1242352.38772781,2455000,Sub-Saharan Africa,Eritrea,0.506049852434954
ESP,1981,171319.5,38071000,Other High Income Countries,Spain,0.0045
EST,1981,11278.4,1484000,Europe & Central Asia,Estonia,0.0076
ETH,1981,22575000,36120000,Sub-Saharan Africa,Ethiopia,0.625
FIN,1981,0,4809000,Other High Income Countries,Finland,0
FJI,1981,16014.6,651000,East Asia & Pacific,Fiji,0.0246
FRA,1981,190043,54298000,Other High Income Countries,France,0.0035
FRO,1981,266.273569257739,44000,Other High Income Countries,Faroe Islands,0.00605167202858498
GAB,1981,18002.7,747000,Sub-Saharan Africa,Gabon,0.0241
GBR,1981,0,56277000,Other High Income Countries,United Kingdom,0
GEO,1981,0,5051000,Europe & Central Asia,Georgia,0
GHA,1981,6342819,11118000,Sub-Saharan Africa,Ghana,0.5705
GIB,1981,181.550160857549,30000,Other High Income Countries,Gibraltar,0.00605167202858498
GIN,1981,4037364,4590000,Sub-Saharan Africa,Guinea,0.8796
GMB,1981,450625,625000,Sub-Saharan Africa,"Gambia, The",0.721
GNB,1981,389977.5,815000,Sub-Saharan Africa,Guinea-Bissau,0.4785
GNQ,1981,137139.510009873,271000,Sub-Saharan Africa,Equatorial Guinea,0.506049852434954
GRC,1981,193587.2,9728000,Other High Income Countries,Greece,0.0199
