country_code,reporting_level,year,reporting_year,poverty_line,fill
AGO,national,1981,1981,1,true
AGO,national,1982,1982,1,true
AGO,national,1983,1983,1,true
AGO,national,1984,1984,1,true
AGO,national,1985,1985,1,true
AGO,national,1986,1986,1,true
AGO,national,1987,1987,1,true
AGO,national,1988,1988,1,true
AGO,national,1989,1989,1,true
AGO,national,1990,1990,1,true
AGO,national,1991,1991,1,true
AGO,national,1992,1992,1,true
AGO,national,1993,1993,1,true
AGO,national,1994,1994,1,true
AGO,national,1995,1995,1,true
AGO,national,1996,1996,1,true
AGO,national,1997,1997,1,true
AGO,national,1998,1998,1,true
AGO,national,1999,1999,1,true
AGO,national,2000,2000,1,true
AGO,national,2001,2001,1,true
AGO,national,2002,2002,1,true
AGO,national,2003,2003,1,true
AGO,national,2004,2004,1,true
AGO,national,2005,2005,1,true
AGO,national,2006,2006,1,true
AGO,national,2007,2007,1,true
AGO,national,2008,2008,1,true
AGO,national,2009,2009,1,true
AGO,national,2010,2010,1,true
AGO,national,2011,2011,1,true
AGO,national,2012,2012,1,true
AGO,national,2013,2013,1,true
AGO,national,2014,2014,1,true
AGO,national,2015,2015,1,true
AGO,national,2016,2016,1,true
AGO,national,2017,2017,1,true
AGO,national,2018,2018,1,true
AGO,national,2019,2019,1,true
AGO,national,2020,2020,1,true
AGO,national,2021,2021,1,true
AGO,national,2022,2022,1,true
AGO,national,2023,2022,1.0149599938745,true
AGO,national,2024,2022,1.01261371228297,true
AGO,national,2025,2022,1.00938083663974,true
AGO,national,2026,2022,1.00553282752046,true
AGO,national,2027,2022,1.00093180388365,true
AGO,national,2028,2022,0.995653007638082,true
ALB,national,1981,1981,1,true
ALB,national,1982,1982,1,true
ALB,national,1983,1983,1,true
ALB,national,1984,1984,1,true
ALB,national,1985,1985,1,true
ALB,national,1986,1986,1,true
ALB,national,1987,1987,1,true
ALB,national,1988,1988,1,true
ALB,national,1989,1989,1,true
ALB,national,1990,1990,1,true
ALB,national,1991,1991,1,true
ALB,national,1992,1992,1,true
ALB,national,1993,1993,1,true
ALB,national,1994,1994,1,true
ALB,national,1995,1995,1,true
ALB,national,1996,1996,1,true
ALB,national,1997,1997,1,true
ALB,national,1998,1998,1,true
ALB,national,1999,1999,1,true
ALB,national,2000,2000,1,true
ALB,national,2001,2001,1,true
ALB,national,2002,2002,1,true
ALB,national,2003,2003,1,true
ALB,national,2004,2004,1,true
ALB,national,2005,2005,1,true
ALB,national,2006,2006,1,true
ALB,national,2007,2007,1,true
ALB,national,2008,2008,1,true
ALB,national,2009,2009,1,true
ALB,national,2010,2010,1,true
ALB,national,2011,2011,1,true
ALB,national,2012,2012,1,true
ALB,national,2013,2013,1,true
ALB,national,2014,2014,1,true
ALB,national,2015,2015,1,true
ALB,national,2016,2016,1,true
ALB,national,2017,2017,1,true
ALB,national,2018,2018,1,true
ALB,national,2019,2019,1,true
ALB,national,2020,2020,1,true
ALB,national,2021,2021,1,true
ALB,national,2022,2022,1,true
ALB,national,2023,2022,0.967221292934843,true
ALB,national,2024,2022,0.937472379127035,true
ALB,national,2025,2022,0.907746623409263,true
ALB,national,2026,2022,0.878680213865966,true
ALB,national,2027,2022,0.850264068636597,true
ALB,national,2028,2022,0.822622519178469,true
ARE,national,1981,1981,1,true
ARE,national,1982,1982,1,true
ARE,national,1983,1983,1,true
ARE,national,1984,1984,1,true
ARE,national,1985,1985,1,true
ARE,national,1986,1986,1,true
ARE,national,1987,1987,1,true
ARE,national,1988,1988,1,true
ARE,national,1989,1989,1,true
ARE,national,1990,1990,1,true
ARE,national,1991,1991,1,true
ARE,national,1992,1992,1,true
ARE,national,1993,1993,1,true
ARE,national,1994,1994,1,true
ARE,national,1995,1995,1,true
ARE,national,1996,1996,1,true
ARE,national,1997,1997,1,true
ARE,national,1998,1998,1,true
ARE,national,1999,1999,1,true
ARE,national,2000,2000,1,true
ARE,national,2001,2001,1,true
ARE,national,2002,2002,1,true
ARE,national,2003,2003,1,true
ARE,national,2004,2004,1,true
ARE,national,2005,2005,1,true
ARE,national,2006,2006,1,true
ARE,national,2007,2007,1,true
ARE,national,2008,2008,1,true
ARE,national,2009,2009,1,true
ARE,national,2010,2010,1,true
ARE,national,2011,2011,1,true
ARE,national,2012,2012,1,true
ARE,national,2013,2013,1,true
ARE,national,2014,2014,1,true
ARE,national,2015,2015,1,true
ARE,national,2016,2016,1,true
ARE,national,2017,2017,1,true
ARE,national,2018,2018,1,true
ARE,national,2019,2019,1,true
ARE,national,2020,2020,1,true
ARE,national,2021,2021,1,true
ARE,national,2022,2022,1,true
ARE,national,2023,2022,0.988329566442064,true
ARE,national,2024,2022,0.969993740692315,true
ARE,national,2025,2022,0.950870369756201,true
ARE,national,2026,2022,0.931236323210244,true
ARE,national,2027,2022,0.911294160523783,true
ARE,national,2028,2022,0.89093380212835,true
ARG,urban,1980,1980,1,false
ARG,urban,1981,1981,1,true
ARG,urban,1982,1982,1,true
ARG,urban,1983,1983,1,true
ARG,urban,1984,1984,1,true
ARG,urban,1985,1985,1,true
ARG,urban,1986,1986,1,true
ARG,urban,1987,1987,1,true
ARG,urban,1988,1988,1,true
ARG,urban,1989,1989,1,true
ARG,urban,1990,1990,1,true
ARG,urban,1991,1991,1,true
ARG,urban,1992,1992,1,true
ARG,urban,1993,1993,1,true
ARG,urban,1994,1994,1,true
ARG,urban,1995,1995,1,true
ARG,urban,1996,1996,1,true
ARG,urban,1997,1997,1,true
ARG,urban,1998,1998,1,true
ARG,urban,1999,1999,1,true
ARG,urban,2000,2000,1,true
ARG,urban,2001,2001,1,true
ARG,urban,2002,2002,1,true
ARG,urban,2003,2003,1,true
ARG,urban,2004,2004,1,true
ARG,urban,2005,2005,1,true
ARG,urban,2006,2006,1,true
ARG,urban,2007,2007,1,true
ARG,urban,2008,2008,1,true
ARG,urban,2009,2009,1,true
ARG,urban,2010,2010,1,true
ARG,urban,2011,2011,1,true
ARG,urban,2012,2012,1,true
ARG,urban,2013,2013,1,true
ARG,urban,2014,2014,1,true
ARG,urban,2015,2015,1,true
ARG,urban,2016,2016,1,true
ARG,urban,2017,2017,1,true
ARG,urban,2018,2018,1,true
ARG,urban,2019,2019,1,true
ARG,urban,2020,2020,1,true
ARG,urban,2021,2021,1,true
ARG,urban,2022,2022,1,true
ARG,urban,2023,2022,1.03108561207015,true
ARG,urban,2024,2022,1.01577262270531,true
ARG,urban,2025,2022,0.996460051360104,true
ARG,urban,2026,2022,0.979582704900402,true
ARG,urban,2027,2022,0.965035479289811,true
ARG,urban,2028,2022,0.952725128974497,true
ARM,national,1981,1981,1,true
ARM,national,1982,1982,1,true
ARM,national,1983,1983,1,true
ARM,national,1984,1984,1,true
ARM,national,1985,1985,1,true
ARM,national,1986,1986,1,true
ARM,national,1987,1987,1,true
ARM,national,1988,1988,1,true
ARM,national,1989,1989,1,true
ARM,national,1990,1990,1,true
ARM,national,1991,1991,1,true
ARM,national,1992,1992,1,true
ARM,national,1993,1993,1,true
ARM,national,1994,1994,1,true
ARM,national,1995,1995,1,true
ARM,national,1996,1996,1,true
ARM,national,1997,1997,1,true
ARM,national,1998,1998,1,true
ARM,national,1999,1999,1,true
ARM,national,2000,2000,1,true
ARM,national,2001,2001,1,true
ARM,national,2002,2002,1,true
ARM,national,2003,2003,1,true
ARM,national,2004,2004,1,true
ARM,national,2005,2005,1,true
ARM,national,2006,2006,1,true
ARM,national,2007,2007,1,true
ARM,national,2008,2008,1,true
ARM,national,2009,2009,1,true
ARM,national,2010,2010,1,true
ARM,national,2011,2011,1,true
ARM,national,2012,2012,1,true
ARM,national,2013,2013,1,true
ARM,national,2014,2014,1,true
ARM,national,2015,2015,1,true
ARM,national,2016,2016,1,true
ARM,national,2017,2017,1,true
ARM,national,2018,2018,1,true
ARM,national,2019,2019,1,true
ARM,national,2020,2020,1,true
ARM,national,2021,2021,1,true
ARM,national,2022,2022,1,true
ARM,national,2023,2022,0.94241789785649,true
ARM,national,2024,2022,0.90318062665213,true
ARM,national,2025,2022,0.869214106215986,true
ARM,national,2026,2022,0.836524991451429,true
ARM,national,2027,2022,0.805065234616197,true
ARM,national,2028,2022,0.774788609784702,true
AUS,national,1981,1981,1,true
AUS,national,1982,1982,1,true
AUS,national,1983,1983,1,true
AUS,national,1984,1984,1,true
AUS,national,1985,1985,1,true
AUS,national,1986,1986,1,true
AUS,national,1987,1987,1,true
AUS,national,1988,1988,1,true
AUS,national,1989,1989,1,true
AUS,national,1990,1990,1,true
AUS,national,1991,1991,1,true
AUS,national,1992,1992,1,true
AUS,national,1993,1993,1,true
AUS,national,1994,1994,1,true
AUS,national,1995,1995,1,true
AUS,national,1996,1996,1,true
AUS,national,1997,1997,1,true
AUS,national,1998,1998,1,true
AUS,national,1999,1999,1,true
AUS,national,2000,2000,1,true
AUS,national,2001,2001,1,true
AUS,national,2002,2002,1,true
AUS,national,2003,2003,1,true
AUS,national,2004,2004,1,true
AUS,national,2005,2005,1,true
AUS,national,2006,2006,1,true
AUS,national,2007,2007,1,true
AUS,national,2008,2008,1,true
AUS,national,2009,2009,1,true
AUS,national,2010,2010,1,true
AUS,national,2011,2011,1,true
AUS,national,2012,2012,1,true
AUS,national,2013,2013,1,true
AUS,national,2014,2014,1,true
AUS,national,2015,2015,1,true
AUS,national,2016,2016,1,true
AUS,national,2017,2017,1,true
AUS,national,2018,2018,1,true
AUS,national,2019,2019,1,true
AUS,national,2020,2020,1,true
AUS,national,2021,2021,1,true
AUS,national,2022,2022,1,true
AUS,national,2023,2022,0.99506206843215,true
AUS,national,2024,2022,0.99559681750372,true
AUS,national,2025,2022,0.989411322710074,true
AUS,national,2026,2022,0.9810707447166,true
AUS,national,2027,2022,0.971901909772727,true
AUS,national,2028,2022,0.962780171163068,true
AUT,national,1981,1981,1,true
AUT,national,1982,1982,1,true
AUT,national,1983,1983,1,true
AUT,national,1984,1984,1,true
AUT,national,1985,1985,1,true
AUT,national,1986,1986,1,true
AUT,national,1987,1987,1,true
AUT,national,1988,1988,1,true
AUT,national,1989,1989,1,true
AUT,national,1990,1990,1,true
AUT,national,1991,1991,1,true
AUT,national,1992,1992,1,true
AUT,national,1993,1993,1,true
AUT,national,1994,1994,1,true
AUT,national,1995,1995,1,true
AUT,national,1996,1996,1,true
AUT,national,1997,1997,1,true
AUT,national,1998,1998,1,true
AUT,national,1999,1999,1,true
AUT,national,2000,2000,1,true
AUT,national,2001,2001,1,true
AUT,national,2002,2002,1,true
AUT,national,2003,2003,1,true
AUT,national,2004,2004,1,true
AUT,national,2005,2005,1,true
AUT,national,2006,2006,1,true
AUT,national,2007,2007,1,true
AUT,national,2008,2008,1,true
AUT,national,2009,2009,1,true
AUT,national,2010,2010,1,true
AUT,national,2011,2011,1,true
AUT,national,2012,2012,1,true
AUT,national,2013,2013,1,true
AUT,national,2014,2014,1,true
AUT,national,2015,2015,1,true
AUT,national,2016,2016,1,true
AUT,national,2017,2017,1,true
AUT,national,2018,2018,1,true
AUT,national,2019,2019,1,true
AUT,national,2020,2020,1,true
AUT,national,2021,2021,1,true
AUT,national,2022,2022,1,true
AUT,national,2023,2022,1.00352269113099,true
AUT,national,2024,2022,1.00121227017859,true
AUT,national,2025,2022,0.99104052550092,true
AUT,national,2026,2022,0.978838518432133,true
AUT,national,2027,2022,0.968696676524136,true
AUT,national,2028,2022,0.96267667862321,true
AZE,national,1981,1981,1,true
AZE,national,1982,1982,1,true
AZE,national,1983,1983,1,true
AZE,national,1984,1984,1,true
AZE,national,1985,1985,1,true
AZE,national,1986,1986,1,true
AZE,national,1987,1987,1,true
AZE,national,1988,1988,1,true
AZE,national,1989,1989,1,true
AZE,national,1990,1990,1,true
AZE,national,1991,1991,1,true
AZE,national,1992,1992,1,true
AZE,national,1993,1993,1,true
AZE,national,1994,1994,1,true
AZE,national,1995,1995,1,true
AZE,national,1996,1996,1,true
AZE,national,1997,1997,1,true
AZE,national,1998,1998,1,true
AZE,national,1999,1999,1,true
AZE,national,2000,2000,1,true
AZE,national,2001,2001,1,true
AZE,national,2002,2002,1,true
AZE,national,2003,2003,1,true
AZE,national,2004,2004,1,true
AZE,national,2005,2005,1,true
AZE,national,2006,2006,1,true
AZE,national,2007,2007,1,true
AZE,national,2008,2008,1,true
AZE,national,2009,2009,1,true
AZE,national,2010,2010,1,true
AZE,national,2011,2011,1,true
AZE,national,2012,2012,1,true
AZE,national,2013,2013,1,true
AZE,national,2014,2014,1,true
AZE,national,2015,2015,1,true
AZE,national,2016,2016,1,true
AZE,national,2017,2017,1,true
AZE,national,2018,2018,1,true
AZE,national,2019,2019,1,true
AZE,national,2020,2020,1,true
AZE,national,2021,2021,1,true
AZE,national,2022,2022,1,true
AZE,national,2023,2022,0.988826765017716,true
AZE,national,2024,2022,0.977600965548802,true
AZE,national,2025,2022,0.966704456288044,true
AZE,national,2026,2022,0.955910702338563,true
AZE,national,2027,2022,0.945060402679857,true
AZE,national,2028,2022,0.934271478313263,true
BDI,national,1981,1981,1,true
BDI,national,1982,1982,1,true
BDI,national,1983,1983,1,true
BDI,national,1984,1984,1,true
BDI,national,1985,1985,1,true
BDI,national,1986,1986,1,true
BDI,national,1987,1987,1,true
BDI,national,1988,1988,1,true
BDI,national,1989,1989,1,true
BDI,national,1990,1990,1,true
BDI,national,1991,1991,1,true
BDI,national,1992,1992,1,true
BDI,national,1993,1993,1,true
BDI,national,1994,1994,1,true
BDI,national,1995,1995,1,true
BDI,national,1996,1996,1,true
BDI,national,1997,1997,1,true
BDI,national,1998,1998,1,true
BDI,national,1999,1999,1,true
BDI,national,2000,2000,1,true
BDI,national,2001,2001,1,true
BDI,national,2002,2002,1,true
BDI,national,2003,2003,1,true
BDI,national,2004,2004,1,true
